epoch,train_loss,valid_loss,train_acc,valid_acc
0,5.323215157298718,3.9944639756129336,0.0260869562625885,0.09268292784690857
1,2.341791575641955,1.5946478293492243,0.34962883591651917,0.5170731544494629
2,0.8514763754303173,0.8282886101649358,0.7357370257377625,0.7341463565826416
3,0.3969232363721072,0.4698668007667248,0.8775185346603394,0.8365853428840637
4,0.20728773690633856,0.3388285293028905,0.9414634108543396,0.8829268217086792
5,0.10773270820283283,0.29133959802297443,0.9735949039459229,0.9024389982223511
6,0.05379453396771924,0.21773541546784914,0.9892895221710205,0.9365853667259216
7,0.027952378762538654,0.2087566927075386,0.9970307350158691,0.9292683005332947
8,0.01736571103239716,0.17047172612868822,0.9987274408340454,0.9439024329185486
9,0.010655400090677253,0.1746493661059783,0.9992576837539673,0.9439024329185486
10,0.008623149147320349,0.17541518520850402,0.9995757937431335,0.9390243887901306
11,0.007195929802512213,0.179305255986177,0.9996818900108337,0.9439024329185486
12,0.005409415641610148,0.15754057123110846,0.9996818900108337,0.9560975432395935
13,0.00499603751675873,0.15278289266503775,0.9997879266738892,0.9609755873680115
14,0.004480687520166828,0.1747140815624824,0.9997879266738892,0.9512194991111755
15,0.0038332569369477995,0.17147014204126138,0.9997879266738892,0.9487804770469666
16,0.002803700038437116,0.15705635412954366,0.9998939633369446,0.9487804770469666
17,0.00264739537181459,0.162850117454162,0.9998939633369446,0.9560975432395935
18,0.0023502619122155012,0.15343009157536122,0.9998939633369446,0.9560975432395935
19,0.0018006548585401754,0.15397697199995702,1.0,0.9560975432395935
20,0.0016733152517591115,0.16444077285436484,1.0,0.9487804770469666
21,0.0014487152019420923,0.1602105382256783,1.0,0.9536585211753845
22,0.0013287390746034176,0.16115308381043947,1.0,0.9512194991111755
23,0.0012162000901791883,0.15285968909469935,1.0,0.9560975432395935
24,0.0011843917315225985,0.15897415692989642,1.0,0.9487804770469666
25,0.0011016334673405578,0.15452643054035994,1.0,0.9536585211753845
26,0.0010033104889355284,0.1551835501136688,1.0,0.9585365653038025
27,0.0009775100046003206,0.15350244136957023,1.0,0.9560975432395935
28,0.0008665576266416869,0.14969216545040792,1.0,0.9536585211753845
29,0.000833716680457563,0.1555434332873959,1.0,0.9560975432395935
