epoch,train_loss,valid_loss,tone_train_acc,tone_valid_acc,pinyin_train_acc,pinyin_valid_acc
0,5.786832185295539,4.598541544329736,0.9592225551605225,0.9695122241973877,0.014735772274434566,0.05030487850308418
1,2.8980276574933432,1.8878881392940399,0.9945375919342041,0.9964430928230286,0.246316060423851,0.4176829159259796
2,1.161318291735843,1.0686560013601858,0.9973323345184326,0.994918704032898,0.6465955376625061,0.6666666865348816
3,0.5139078287089743,0.6040673287164781,0.9986026287078857,0.997459352016449,0.8532774448394775,0.815040647983551
4,0.2613148788308225,0.47620757404834996,0.9996188879013062,0.9964430928230286,0.9294969439506531,0.8531504273414612
5,0.12832770791904227,0.33402916644850084,0.9993648529052734,0.9964430928230286,0.9714176654815674,0.8988820910453796
6,0.06231179684249124,0.2820870551851488,1.0,0.9984756112098694,0.9897103905677795,0.9181910753250122
7,0.03055861346590204,0.23760240014281966,0.9997459053993225,0.9989837408065796,0.9978404641151428,0.9298780560493469
8,0.0188447009446478,0.24057003585321288,0.9998729825019836,0.9979674816131592,0.9993648529052734,0.9298780560493469
9,0.013437642093096686,0.21154199588683345,0.9998729825019836,0.9989837408065796,0.9998729825019836,0.9435975551605225
10,0.009122202863795607,0.21925961803044042,1.0,0.9979674816131592,0.9998729825019836,0.9385162591934204
11,0.007452664064902176,0.20616930660100713,1.0,0.9994918704032898,0.9998729825019836,0.9441056847572327
12,0.006160127640724546,0.21286905586959853,1.0,0.9994918704032898,1.0,0.9486788511276245
13,0.004955944325017735,0.1980675493757571,1.0,0.9994918704032898,1.0,0.9456300735473633
14,0.004443574206509847,0.1964942854979346,1.0,0.9984756112098694,1.0,0.9476625919342041
15,0.0039698511969707,0.20335981090583147,1.0,0.9994918704032898,1.0,0.9486788511276245
16,0.0034671548755869754,0.2060791569491548,1.0,0.9989837408065796,1.0,0.9466463327407837
17,0.0030901194180975237,0.19843006482528103,1.0,0.9994918704032898,1.0,0.9502032399177551
18,0.0028483429687037095,0.19181438096828998,1.0,0.9989837408065796,1.0,0.9471544623374939
19,0.0025849737424774445,0.19212217010076968,1.0,0.9994918704032898,1.0,0.952235758304596
20,0.0023766840482509232,0.19461226718680513,1.0,0.9994918704032898,1.0,0.952235758304596
21,0.0021475996080089392,0.20364328741186088,1.0,0.9984756112098694,1.0,0.9512194991111755
22,0.0021121712814168477,0.1918994494593672,1.0,0.9989837408065796,1.0,0.9517276287078857
23,0.0019449797535610453,0.19750586526107886,1.0,0.9984756112098694,1.0,0.9502032399177551
24,0.0017635215890624114,0.18657296481392077,1.0,0.9989837408065796,1.0,0.9537601470947266
25,0.001664822150260301,0.19452654582358175,1.0,0.9994918704032898,1.0,0.9512194991111755
26,0.0015548741143495905,0.18607609232346858,1.0,0.9989837408065796,1.0,0.9512194991111755
27,0.0014784192090013587,0.19487053255039838,1.0,0.9989837408065796,1.0,0.952235758304596
28,0.0014251580064817203,0.19272491275783507,1.0,0.9994918704032898,1.0,0.9512194991111755
29,0.0012599039007436363,0.19412074478403216,1.0,0.9984756112098694,1.0,0.9517276287078857
